item_id,case_id,row,field,gd_value,gd_status,disagreeing_judge,judge_status,judge_reason,kept_because,resolved_by_change
J1-046,v5-2C,1,c_rate,C/5,INFERRED,claude,CONTRADICTED,"Paper: C/5 after only ONE C/20 cycle, not two",,changed to C/5 as the judge's reading implies; its point (one vs two C/20 cycles) is recorded as a paper conflict
J1-081,v5-2F,1,capacity,130,STATED,gpt,NOT_REPORTED,"130 mAh/g is the MW_30m_A 5C rate-capability value, not the 300-cycle capacity.",judge read the 5C rate value as the 300-cycle test named in the same table; the item is the 5C value,
J1-085,v5-2F,1,cycle,not_reported,NOT_REPORTED,gpt,CONTRADICTED,"The relevant cycling measurement is after 300 cycles, not cycle 1.",judge read the 5C rate value as the 300-cycle test named in the same table; the item is the 5C value,
J1-086,v5-2F,1,c_rate,5C,STATED,gpt,CONTRADICTED,"The 300-cycle retention measurement is at 1C, not 5C.",judge read the 5C rate value as the 300-cycle test named in the same table; the item is the 5C value,
J1-091,v5-2F,2,capacity,131,STATED,gpt,NOT_REPORTED,"131 mAh/g is CP_A's 5C rate-capability value, not its 300-cycle absolute capacity.",judge read the 5C rate value as the 300-cycle test named in the same table; the item is the 5C value,
J1-095,v5-2F,2,cycle,not_reported,NOT_REPORTED,gpt,CONTRADICTED,"The relevant cycling measurement is after 300 cycles, not cycle 1.",judge read the 5C rate value as the 300-cycle test named in the same table; the item is the 5C value,
J1-096,v5-2F,2,c_rate,5C,STATED,gpt,CONTRADICTED,"The 300-cycle retention measurement is at 1C, not 5C.",judge read the 5C rate value as the 300-cycle test named in the same table; the item is the 5C value,
J1-113,v5-3B,1,modification,not_reported,NOT_REPORTED,gpt,INFERRED,"The cathode is described without a coating, dopant, or additive modification.","convention: 'none' is recorded only where the paper says bare, pristine, uncoated or commercial",
J1-120,v5-3B,1,electrolyte,not_reported,NOT_REPORTED,gpt,INFERRED,The LIB electrolyte formulation is applied to the full-cell tests.,deciding fact of case 3B: the electrolyte is given only for half-cell tests; confirmed by both judges in the v4/v5 key checks,
J1-134,v5-3F,1,capacity_type,not_reported,NOT_REPORTED,claude,STATED,Charge capacity,deciding fact of case 3F: 'a capacity value ... when charged to 4.5 V' is never called charge or discharge; confirmed NOT_REPORTED by both judges in the v5 key check,
J1-137,v5-3F,1,voltage_window,2.7–4.5 V,STATED,gpt,CONTRADICTED,The figure caption explicitly gives the lower cutoff as 2.7 V.,,"changed to 2.7–4.5 V, the lower cutoff the judge found in the caption"
J1-144,v5-3F,2,capacity_type,not_reported,NOT_REPORTED,claude,INFERRED,Compared value is the charge capacity to 4.5 V,deciding fact of case 3F: 'a capacity value ... when charged to 4.5 V' is never called charge or discharge; confirmed NOT_REPORTED by both judges in the v5 key check,
J1-147,v5-3F,2,voltage_window,2.7–4.5 V,INFERRED,gpt,CONTRADICTED,The same-condition experiment explicitly supplies the lower cutoff as 2.7 V.,,"changed to 2.7–4.5 V (INFERRED, same conditions), as the judge pointed out"
J1-173,v5-4D,1,modification,not_reported,NOT_REPORTED,gpt,INFERRED,The NMC811 cathode is prepared without a stated cathode coating/dopant/additive.,"convention: 'none' is recorded only where the paper says bare, pristine, uncoated or commercial",
J2-023,v6-B1-06,1,modification,SPE coating,STATED,gpt,NOT_REPORTED,"The cited measurement is from the NMC811 material study, not an SPE-coated sample.",judge attributed the measurement to a different paper; the quoted sentences are in PAPER 28,
J2-027,v6-B1-06,1,voltage_window,2.18–3.68 V vs In/LiIn (= 2.8–4.3 V vs Li/Li+),STATED,gpt,NOT_REPORTED,The cited 199 mAh/g measurement does not establish the proposed 2.18–3.68 V window.,judge attributed the measurement to a different paper; the quoted sentences are in PAPER 28,
J2-029,v6-B1-06,1,temperature,25 °C,STATED,gpt,NOT_REPORTED,This paper’s cited measurement does not establish 25°C as its test temperature.,judge attributed the measurement to a different paper; the quoted sentences are in PAPER 28,
J2-030,v6-B1-06,1,electrolyte,Li6PS5Cl (inorganic sulfide solid electrolyte),INFERRED,gpt,NOT_REPORTED,"Li6PS5Cl is from a different paper/sample, not this 199 mAh/g measurement.",judge attributed the measurement to a different paper; the quoted sentences are in PAPER 28,
J2-074,v6-B4-05,1,capacity_type,not_reported,NOT_REPORTED,claude,INFERRED,rate-capability value is the discharge capacity,deciding fact of case B4-05: 'rate capabilities of ... 187.4 mA h g−1' is not labelled charge or discharge; confirmed in the v6 key check,
J2-114,v6-B1-10,1,capacity_type,not_reported,NOT_REPORTED,claude,INFERRED,"capacity ""delivered"" on discharge",deciding fact of case B1-10: '224 mAh g−1 is delivered at 0.2 C when ... charged to 4.6 V' is not labelled; confirmed in the v6 key check,
J2-125,v6-B1-11,1,cycle,1,INFERRED,gpt,NOT_REPORTED,The 203.9 mAh/g result is not assigned to a specific cycle number.,"the value is given 'with an ICE of up to 92.8%', which ties it to the first cycle",
J3-003,v6-B3-06,1,modification,not_reported,NOT_REPORTED,gpt,INFERRED,Full-cell cathode preparation states NCM811 without a coating or dopant.,"convention: 'none' is recorded only where the paper says bare, pristine, uncoated or commercial",
J3-013,v6-B4-02,1,modification,not_reported,NOT_REPORTED,gpt,INFERRED,The paper specifies conventional NCM811 electrode formulation without a material coating or dopant.,"convention: 'none' is recorded only where the paper says bare, pristine, uncoated or commercial",
J3-058,v6-B1-01,1,cell_type,Li metal negative electrode (NCM811|P15 Z30 PEDF|Li; the paper calls these full cells),STATED,claude,CONTRADICTED,paper calls it a full cell with Li metal anode,,"changed to the paper's own wording ('Full cell performance', Li metal negative electrode), as the judge pointed out"
J3-071,v6-B2-13,1,capacity,not_reported,NOT_REPORTED,gpt,INFERRED,P0.3 gives 178 mAh/g at 4C and is stated superior to P0.0 at all tested rates.,"no value for P0.0-NCM811 at 4.0 C; 'superior across all tested C-rates' gives only a bound, not a measurement",
J3-083,v6-B3-11,1,modification,not_reported,NOT_REPORTED,gpt,INFERRED,No coating or dopant to NCM811 is stated.,"convention: 'none' is recorded only where the paper says bare, pristine, uncoated or commercial",
J3-086,v6-B3-11,1,c_rate,0.1C,STATED,gpt,NOT_REPORTED,"The 0.1C rate applies to a separate rate-capability test, not the temperature-range measurement.",,changed to 0.1C STATED from the Figure 7b caption; the other judge had missed the caption
J3-089,v6-B3-11,1,temperature,not_reported,NOT_REPORTED,claude,INFERRED,range endpoints pair; 114.5 at 25 °C,deciding fact of case B3-11: the range endpoints are not bound to temperatures; pairing them is an assumption,
J3-093,v6-B3-11,2,modification,not_reported,NOT_REPORTED,gpt,INFERRED,No coating or dopant to NCM811 is stated.,"convention: 'none' is recorded only where the paper says bare, pristine, uncoated or commercial",
J3-096,v6-B3-11,2,c_rate,0.1C,STATED,gpt,NOT_REPORTED,The 0.1C rate belongs to a separate rate-capability measurement.,,changed to 0.1C STATED from the Figure 7b caption; the other judge had missed the caption
J3-099,v6-B3-11,2,temperature,not_reported,NOT_REPORTED,claude,INFERRED,range endpoints pair; 168.8 at 80 °C,deciding fact of case B3-11: the range endpoints are not bound to temperatures; pairing them is an assumption,
J3-132,v6-B2-03,1,material,single-crystal NCM811,STATED,gpt,CONTRADICTED,"The paper identifies the material as NCM811, not single-crystal NCM811.",the materials section names 'single crystal Nickel-rich LiNi0.8Co0.1Mn0.1O2 (NCM811)',
J4-009,v6-B3-05,1,temperature,25 °C,STATED,gpt,NOT_REPORTED,"Paper states room temperature for this test, not a numerical 25 °C value.",Figure 5b label reads '1 C 2.8-4.5 V 25 ℃' for this cycling test,
J4-013,v6-B2-11,1,modification,not_reported,NOT_REPORTED,claude,INFERRED,Bare coprecipitated NMC811; no coating or dopant applied,"convention: 'none' is recorded only where the paper says bare, pristine, uncoated or commercial",
J4-023,v6-B4-04,1,modification,not_reported,NOT_REPORTED,claude,INFERRED,Commercial NCM811 used as received; electrolyte is the modification,"convention: 'none' is recorded only where the paper says bare, pristine, uncoated or commercial",
J4-077,v6-B1-03,1,voltage_window,not_reported,NOT_REPORTED,gpt,STATED,The paper explicitly states the equivalent 2.8–4.3 V range.,the 2.18–3.68 V window sentence is scoped to the 25 °C comparison; this measurement is at 60 °C,
J4-089,v6-B2-06,1,temperature,25 °C,INFERRED,gpt,NOT_REPORTED,"The methods state room temperature, not a numerical 25 °C value.",'cycling at 1 C across ... at 25 °C' covers the Table 1 cutoffs,
J4-093,v6-B1-12,1,modification,not_reported,NOT_REPORTED,claude,INFERRED,Commercial NCM811 used as received; cathode unmodified,"convention: 'none' is recorded only where the paper says bare, pristine, uncoated or commercial",
J4-097,v6-B1-12,1,voltage_window,cutoff 4.3 V (lower cutoff not given),INFERRED,gpt,NOT_REPORTED,The high-mass-loading paragraph does not establish a voltage window for this specific 200-cycle measurement.,'LMBs with NCM811 cathodes were assembled and evaluated at 25 °C with a cutoff voltage of 4.3 V' covers the NCM811 lithium-metal cells,
J4-099,v6-B1-12,1,temperature,25 °C,INFERRED,gpt,NOT_REPORTED,No numerical test temperature is given for the high-mass-loading 200-cycle measurement.,'LMBs with NCM811 cathodes were assembled and evaluated at 25 °C with a cutoff voltage of 4.3 V' covers the NCM811 lithium-metal cells,
J4-113,v6-B2-10,1,modification,none named (commercial NMC811),STATED,gpt,NOT_REPORTED,The paper names commercial NMC811 but does not explicitly establish “none” as a modification field.,"convention: the paper says 'commercial LiNi0.8Mn0.1Co0.1O2 (NMC811)', recorded as no modification named",
J4-120,v6-B2-10,1,electrolyte,1 M LiPF6 (solvent not_reported),NOT_REPORTED,gpt,STATED,The full-cell notation explicitly identifies 1 M LiPF6 electrolyte.,the paper gives '1 M LiPF6' only; the candidate's EC:DMC solvent is not in the paper,
