record_id,record_origin,doi,title,abstract,journal,year,first_author,last_author,corresponding_author,oa_url,source_license,provenance_type,sentence,variable,value_mAh_g,capacity_type,capacity_qualifier,cycle_context,cycle_n,canonical_material_id,material_family,material,modifier,morphology_descriptors,c_rate,c_rate_basis_value,c_rate_basis_unit,voltage_window_lower_V,voltage_window_upper_V,voltage_reference,voltage_upper_vs_Li_V,cell_type,cell_type_as_reported,counter_electrode,operating_temperature_C,operating_temperature_raw,electrolyte,electrolyte_molarity_M,electrolyte_solvent,electrolyte_additive,electrolyte_composition_raw,binder,binder_wt_pct,electrode_conductive_additive,conductive_additive_wt_pct,active_material_wt_pct,electrode_ratio_raw,electrode_solvent,current_collector,mass_loading_raw,mass_loading_mg_cm2_est,mass_loading_is_range,synthesis_method
nmc-0001,v2,10.3390/nano15030156,Improving Electrochemical Performance of Ultrahigh-Loading Cathodes via the Addition of Multi-Walled Carbon Nanotubes,"Achieving high energy densities in lithium-ion batteries requires advancements in electrode materials and design. This study investigated the incorporation of multi-walled carbon nanotubes (MWCNTs) with high commercial viability as conductive additives into two types of high-nickel cathode materials, LiNi0.8Co0.1Mn0.1O2 and LiNi0.92Co0.07Mn0.01O2. To ensure a uniform distribution within the electrodes, MWCNTs were uniformly dispersed in the solvent using ultrasonication, the most effective and straightforward dispersion method. This enhancement improved both electronic and ionic conductivity, facilitating the formation of an efficient electron transfer network. Unlike the cells using only carbon black, the electrodes with MWCNTs exhibited lower internal resistances, facilitating higher lithium-ion diffusion. The cells with MWCNTs exhibited a capacity retention of 89.5% over their cycle life, and the cells with 2 wt% MWCNTs exhibited a superior rate capability at a high current density of 1 C. This study highlights that incorporating well-dispersed MWCNTs effectively enhances the electrochemical performance of ultrahigh-loading cathodes in lithium-ion batteries (LIBs), providing valuable insights into electrode design.",Nanomaterials,2025,"Choi, C.J. et al.",Jinhyup Han,Dae-Young Jeon,https://www.mdpi.com/2079-4991/15/3/156/pdf?version=1737468011,cc-by-4.0,sentence,"The discharge capacities of the cells were 208.7, 209.0, and 208.3 mAh g-1 for the 0, 1, and 2 wt% MWCNTs, respectively.",specific_capacity,208.7,discharge,initial,first_cycle,1,LiNi0.8Co0.1Mn0.1O2,NMC811,NCM811,0 wt% MWCNTs,polycrystalline,0.1,200,mA/g,2.8,4.3,Li/Li+,4.3,half cell,half cell,Li metal,30,30,LiPF6,1,EC:EMC (3:7 weight ratio),not_reported,Commercial 1 M LiPF6 in EC:EMC (3:7 weight ratio) electrolyte,PVDF,4,carbon black,8,88,88:8:4,NMP,Al foil,16,16,false,not_reported
nmc-0002,v2,10.3390/nano15030156,Improving Electrochemical Performance of Ultrahigh-Loading Cathodes via the Addition of Multi-Walled Carbon Nanotubes,"Achieving high energy densities in lithium-ion batteries requires advancements in electrode materials and design. This study investigated the incorporation of multi-walled carbon nanotubes (MWCNTs) with high commercial viability as conductive additives into two types of high-nickel cathode materials, LiNi0.8Co0.1Mn0.1O2 and LiNi0.92Co0.07Mn0.01O2. To ensure a uniform distribution within the electrodes, MWCNTs were uniformly dispersed in the solvent using ultrasonication, the most effective and straightforward dispersion method. This enhancement improved both electronic and ionic conductivity, facilitating the formation of an efficient electron transfer network. Unlike the cells using only carbon black, the electrodes with MWCNTs exhibited lower internal resistances, facilitating higher lithium-ion diffusion. The cells with MWCNTs exhibited a capacity retention of 89.5% over their cycle life, and the cells with 2 wt% MWCNTs exhibited a superior rate capability at a high current density of 1 C. This study highlights that incorporating well-dispersed MWCNTs effectively enhances the electrochemical performance of ultrahigh-loading cathodes in lithium-ion batteries (LIBs), providing valuable insights into electrode design.",Nanomaterials,2025,"Choi, C.J. et al.",Jinhyup Han,Dae-Young Jeon,https://www.mdpi.com/2079-4991/15/3/156/pdf?version=1737468011,cc-by-4.0,sentence,"The discharge capacities of the cells were 208.7, 209.0, and 208.3 mAh g-1 for the 0, 1, and 2 wt% MWCNTs, respectively.",specific_capacity,209.0,discharge,initial,first_cycle,1,LiNi0.8Co0.1Mn0.1O2,NMC811,NCM811,1 wt% MWCNTs,polycrystalline,0.1,200,mA/g,2.8,4.3,Li/Li+,4.3,half cell,half cell,Li metal,30,30,LiPF6,1,EC:EMC (3:7 weight ratio),not_reported,Commercial 1 M LiPF6 in EC:EMC (3:7 weight ratio) electrolyte,PVDF,4,CNT,8,88,88:7:1:4,NMP,Al foil,14,14,false,not_reported
nmc-0003,v2,10.3390/nano15030156,Improving Electrochemical Performance of Ultrahigh-Loading Cathodes via the Addition of Multi-Walled Carbon Nanotubes,"Achieving high energy densities in lithium-ion batteries requires advancements in electrode materials and design. This study investigated the incorporation of multi-walled carbon nanotubes (MWCNTs) with high commercial viability as conductive additives into two types of high-nickel cathode materials, LiNi0.8Co0.1Mn0.1O2 and LiNi0.92Co0.07Mn0.01O2. To ensure a uniform distribution within the electrodes, MWCNTs were uniformly dispersed in the solvent using ultrasonication, the most effective and straightforward dispersion method. This enhancement improved both electronic and ionic conductivity, facilitating the formation of an efficient electron transfer network. Unlike the cells using only carbon black, the electrodes with MWCNTs exhibited lower internal resistances, facilitating higher lithium-ion diffusion. The cells with MWCNTs exhibited a capacity retention of 89.5% over their cycle life, and the cells with 2 wt% MWCNTs exhibited a superior rate capability at a high current density of 1 C. This study highlights that incorporating well-dispersed MWCNTs effectively enhances the electrochemical performance of ultrahigh-loading cathodes in lithium-ion batteries (LIBs), providing valuable insights into electrode design.",Nanomaterials,2025,"Choi, C.J. et al.",Jinhyup Han,Dae-Young Jeon,https://www.mdpi.com/2079-4991/15/3/156/pdf?version=1737468011,cc-by-4.0,sentence,"The discharge capacities of the cells were 208.7, 209.0, and 208.3 mAh g-1 for the 0, 1, and 2 wt% MWCNTs, respectively.",specific_capacity,208.3,discharge,initial,first_cycle,1,LiNi0.8Co0.1Mn0.1O2,NMC811,NCM811,2 wt% MWCNTs,polycrystalline,0.1,200,mA/g,2.8,4.3,Li/Li+,4.3,half cell,half cell,Li metal,30,30,LiPF6,1,EC:EMC (3:7 weight ratio),not_reported,Commercial 1 M LiPF6 in EC:EMC (3:7 weight ratio) electrolyte,PVDF,4,CNT,8,88,88:6:2:4,NMP,Al foil,11,11,false,not_reported
nmc-0004,v2,10.3390/nano15030156,Improving Electrochemical Performance of Ultrahigh-Loading Cathodes via the Addition of Multi-Walled Carbon Nanotubes,"Achieving high energy densities in lithium-ion batteries requires advancements in electrode materials and design. This study investigated the incorporation of multi-walled carbon nanotubes (MWCNTs) with high commercial viability as conductive additives into two types of high-nickel cathode materials, LiNi0.8Co0.1Mn0.1O2 and LiNi0.92Co0.07Mn0.01O2. To ensure a uniform distribution within the electrodes, MWCNTs were uniformly dispersed in the solvent using ultrasonication, the most effective and straightforward dispersion method. This enhancement improved both electronic and ionic conductivity, facilitating the formation of an efficient electron transfer network. Unlike the cells using only carbon black, the electrodes with MWCNTs exhibited lower internal resistances, facilitating higher lithium-ion diffusion. The cells with MWCNTs exhibited a capacity retention of 89.5% over their cycle life, and the cells with 2 wt% MWCNTs exhibited a superior rate capability at a high current density of 1 C. This study highlights that incorporating well-dispersed MWCNTs effectively enhances the electrochemical performance of ultrahigh-loading cathodes in lithium-ion batteries (LIBs), providing valuable insights into electrode design.",Nanomaterials,2025,"Choi, C.J. et al.",Jinhyup Han,Dae-Young Jeon,https://www.mdpi.com/2079-4991/15/3/156/pdf?version=1737468011,cc-by-4.0,sentence,"Figure 5b shows the discharge capacities of the Ni92% cathode, which were 223.7, 223.5, and 219.7 mAh g-1 for the electrodes containing 0, 1, and 2 wt% MWCNTs, respectively.",specific_capacity,223.7,discharge,initial,first_cycle,1,LiNi0.92Co0.07Mn0.01O2,other,Ni92%,0 wt% MWCNTs,polycrystalline,0.1,200,mA/g,2.8,4.3,Li/Li+,4.3,half cell,half cell,Li metal,30,30,LiPF6,1,EC:EMC (3:7 weight ratio),not_reported,Commercial 1 M LiPF6 in EC:EMC (3:7 weight ratio) electrolyte,PVDF,4,carbon black,8,88,88:8:4,NMP,Al foil,16,16,false,not_reported
nmc-0005,v2,10.3390/nano15030156,Improving Electrochemical Performance of Ultrahigh-Loading Cathodes via the Addition of Multi-Walled Carbon Nanotubes,"Achieving high energy densities in lithium-ion batteries requires advancements in electrode materials and design. This study investigated the incorporation of multi-walled carbon nanotubes (MWCNTs) with high commercial viability as conductive additives into two types of high-nickel cathode materials, LiNi0.8Co0.1Mn0.1O2 and LiNi0.92Co0.07Mn0.01O2. To ensure a uniform distribution within the electrodes, MWCNTs were uniformly dispersed in the solvent using ultrasonication, the most effective and straightforward dispersion method. This enhancement improved both electronic and ionic conductivity, facilitating the formation of an efficient electron transfer network. Unlike the cells using only carbon black, the electrodes with MWCNTs exhibited lower internal resistances, facilitating higher lithium-ion diffusion. The cells with MWCNTs exhibited a capacity retention of 89.5% over their cycle life, and the cells with 2 wt% MWCNTs exhibited a superior rate capability at a high current density of 1 C. This study highlights that incorporating well-dispersed MWCNTs effectively enhances the electrochemical performance of ultrahigh-loading cathodes in lithium-ion batteries (LIBs), providing valuable insights into electrode design.",Nanomaterials,2025,"Choi, C.J. et al.",Jinhyup Han,Dae-Young Jeon,https://www.mdpi.com/2079-4991/15/3/156/pdf?version=1737468011,cc-by-4.0,sentence,"Figure 5b shows the discharge capacities of the Ni92% cathode, which were 223.7, 223.5, and 219.7 mAh g-1 for the electrodes containing 0, 1, and 2 wt% MWCNTs, respectively.",specific_capacity,223.5,discharge,initial,first_cycle,1,LiNi0.92Co0.07Mn0.01O2,other,Ni92%,1 wt% MWCNTs,polycrystalline,0.1,200,mA/g,2.8,4.3,Li/Li+,4.3,half cell,half cell,Li metal,30,30,LiPF6,1,EC:EMC (3:7 weight ratio),not_reported,Commercial 1 M LiPF6 in EC:EMC (3:7 weight ratio) electrolyte,PVDF,4,CNT,8,88,88:7:1:4,NMP,Al foil,14,14,false,not_reported
nmc-0006,v2,10.3390/nano15030156,Improving Electrochemical Performance of Ultrahigh-Loading Cathodes via the Addition of Multi-Walled Carbon Nanotubes,"Achieving high energy densities in lithium-ion batteries requires advancements in electrode materials and design. This study investigated the incorporation of multi-walled carbon nanotubes (MWCNTs) with high commercial viability as conductive additives into two types of high-nickel cathode materials, LiNi0.8Co0.1Mn0.1O2 and LiNi0.92Co0.07Mn0.01O2. To ensure a uniform distribution within the electrodes, MWCNTs were uniformly dispersed in the solvent using ultrasonication, the most effective and straightforward dispersion method. This enhancement improved both electronic and ionic conductivity, facilitating the formation of an efficient electron transfer network. Unlike the cells using only carbon black, the electrodes with MWCNTs exhibited lower internal resistances, facilitating higher lithium-ion diffusion. The cells with MWCNTs exhibited a capacity retention of 89.5% over their cycle life, and the cells with 2 wt% MWCNTs exhibited a superior rate capability at a high current density of 1 C. This study highlights that incorporating well-dispersed MWCNTs effectively enhances the electrochemical performance of ultrahigh-loading cathodes in lithium-ion batteries (LIBs), providing valuable insights into electrode design.",Nanomaterials,2025,"Choi, C.J. et al.",Jinhyup Han,Dae-Young Jeon,https://www.mdpi.com/2079-4991/15/3/156/pdf?version=1737468011,cc-by-4.0,sentence,"Figure 5b shows the discharge capacities of the Ni92% cathode, which were 223.7, 223.5, and 219.7 mAh g-1 for the electrodes containing 0, 1, and 2 wt% MWCNTs, respectively.",specific_capacity,219.7,discharge,initial,first_cycle,1,LiNi0.92Co0.07Mn0.01O2,other,Ni92%,2 wt% MWCNTs,polycrystalline,0.1,200,mA/g,2.8,4.3,Li/Li+,4.3,half cell,half cell,Li metal,30,30,LiPF6,1,EC:EMC (3:7 weight ratio),not_reported,Commercial 1 M LiPF6 in EC:EMC (3:7 weight ratio) electrolyte,PVDF,4,CNT,8,88,88:6:2:4,NMP,Al foil,11,11,false,not_reported
nmc-0007,v2,10.3390/nano15030156,Improving Electrochemical Performance of Ultrahigh-Loading Cathodes via the Addition of Multi-Walled Carbon Nanotubes,"Achieving high energy densities in lithium-ion batteries requires advancements in electrode materials and design. This study investigated the incorporation of multi-walled carbon nanotubes (MWCNTs) with high commercial viability as conductive additives into two types of high-nickel cathode materials, LiNi0.8Co0.1Mn0.1O2 and LiNi0.92Co0.07Mn0.01O2. To ensure a uniform distribution within the electrodes, MWCNTs were uniformly dispersed in the solvent using ultrasonication, the most effective and straightforward dispersion method. This enhancement improved both electronic and ionic conductivity, facilitating the formation of an efficient electron transfer network. Unlike the cells using only carbon black, the electrodes with MWCNTs exhibited lower internal resistances, facilitating higher lithium-ion diffusion. The cells with MWCNTs exhibited a capacity retention of 89.5% over their cycle life, and the cells with 2 wt% MWCNTs exhibited a superior rate capability at a high current density of 1 C. This study highlights that incorporating well-dispersed MWCNTs effectively enhances the electrochemical performance of ultrahigh-loading cathodes in lithium-ion batteries (LIBs), providing valuable insights into electrode design.",Nanomaterials,2025,"Choi, C.J. et al.",Jinhyup Han,Dae-Young Jeon,https://www.mdpi.com/2079-4991/15/3/156/pdf?version=1737468011,cc-by-4.0,sentence,The 50th discharge capacity of the electrode with MWCNTs was 183.7 mAh g-1.,specific_capacity,183.7,discharge,reversible,cycle_n,50,LiNi0.8Co0.1Mn0.1O2,NMC811,NCM811,1 wt% MWCNTs,polycrystalline,0.33,200,mA/g,2.8,4.3,Li/Li+,4.3,half cell,half cell,Li metal,30,30,LiPF6,1,EC:EMC (3:7 weight ratio),not_reported,Commercial 1 M LiPF6 in EC:EMC (3:7 weight ratio) electrolyte,PVDF,4,CNT,8,88,88:7:1:4,NMP,Al foil,14,14,false,not_reported
nmc-0008,v2,10.3390/nano15030156,Improving Electrochemical Performance of Ultrahigh-Loading Cathodes via the Addition of Multi-Walled Carbon Nanotubes,"Achieving high energy densities in lithium-ion batteries requires advancements in electrode materials and design. This study investigated the incorporation of multi-walled carbon nanotubes (MWCNTs) with high commercial viability as conductive additives into two types of high-nickel cathode materials, LiNi0.8Co0.1Mn0.1O2 and LiNi0.92Co0.07Mn0.01O2. To ensure a uniform distribution within the electrodes, MWCNTs were uniformly dispersed in the solvent using ultrasonication, the most effective and straightforward dispersion method. This enhancement improved both electronic and ionic conductivity, facilitating the formation of an efficient electron transfer network. Unlike the cells using only carbon black, the electrodes with MWCNTs exhibited lower internal resistances, facilitating higher lithium-ion diffusion. The cells with MWCNTs exhibited a capacity retention of 89.5% over their cycle life, and the cells with 2 wt% MWCNTs exhibited a superior rate capability at a high current density of 1 C. This study highlights that incorporating well-dispersed MWCNTs effectively enhances the electrochemical performance of ultrahigh-loading cathodes in lithium-ion batteries (LIBs), providing valuable insights into electrode design.",Nanomaterials,2025,"Choi, C.J. et al.",Jinhyup Han,Dae-Young Jeon,https://www.mdpi.com/2079-4991/15/3/156/pdf?version=1737468011,cc-by-4.0,sentence,"Particularly at a C-rate of 1 C for NCM811, the specific capacities for 0, 1, and 2 wt% MWCNTs were 28.9, 124.1, and 161.6 mAh g-1, respectively.",specific_capacity,28.9,discharge,none,not_reported,,LiNi0.8Co0.1Mn0.1O2,NMC811,NCM811,0 wt% MWCNTs,polycrystalline,1,200,mA/g,2.8,4.3,Li/Li+,4.3,half cell,half cell,Li metal,30,30,LiPF6,1,EC:EMC (3:7 weight ratio),not_reported,Commercial 1 M LiPF6 in EC:EMC (3:7 weight ratio) electrolyte,PVDF,4,carbon black,8,88,88:8:4,NMP,Al foil,16,16,false,not_reported
nmc-0009,v2,10.3390/nano15030156,Improving Electrochemical Performance of Ultrahigh-Loading Cathodes via the Addition of Multi-Walled Carbon Nanotubes,"Achieving high energy densities in lithium-ion batteries requires advancements in electrode materials and design. This study investigated the incorporation of multi-walled carbon nanotubes (MWCNTs) with high commercial viability as conductive additives into two types of high-nickel cathode materials, LiNi0.8Co0.1Mn0.1O2 and LiNi0.92Co0.07Mn0.01O2. To ensure a uniform distribution within the electrodes, MWCNTs were uniformly dispersed in the solvent using ultrasonication, the most effective and straightforward dispersion method. This enhancement improved both electronic and ionic conductivity, facilitating the formation of an efficient electron transfer network. Unlike the cells using only carbon black, the electrodes with MWCNTs exhibited lower internal resistances, facilitating higher lithium-ion diffusion. The cells with MWCNTs exhibited a capacity retention of 89.5% over their cycle life, and the cells with 2 wt% MWCNTs exhibited a superior rate capability at a high current density of 1 C. This study highlights that incorporating well-dispersed MWCNTs effectively enhances the electrochemical performance of ultrahigh-loading cathodes in lithium-ion batteries (LIBs), providing valuable insights into electrode design.",Nanomaterials,2025,"Choi, C.J. et al.",Jinhyup Han,Dae-Young Jeon,https://www.mdpi.com/2079-4991/15/3/156/pdf?version=1737468011,cc-by-4.0,sentence,"Particularly at a C-rate of 1 C for NCM811, the specific capacities for 0, 1, and 2 wt% MWCNTs were 28.9, 124.1, and 161.6 mAh g-1, respectively.",specific_capacity,124.1,discharge,none,not_reported,,LiNi0.8Co0.1Mn0.1O2,NMC811,NCM811,1 wt% MWCNTs,polycrystalline,1,200,mA/g,2.8,4.3,Li/Li+,4.3,half cell,half cell,Li metal,30,30,LiPF6,1,EC:EMC (3:7 weight ratio),not_reported,Commercial 1 M LiPF6 in EC:EMC (3:7 weight ratio) electrolyte,PVDF,4,CNT,8,88,88:7:1:4,NMP,Al foil,14,14,false,not_reported
nmc-0010,v2,10.3390/nano15030156,Improving Electrochemical Performance of Ultrahigh-Loading Cathodes via the Addition of Multi-Walled Carbon Nanotubes,"Achieving high energy densities in lithium-ion batteries requires advancements in electrode materials and design. This study investigated the incorporation of multi-walled carbon nanotubes (MWCNTs) with high commercial viability as conductive additives into two types of high-nickel cathode materials, LiNi0.8Co0.1Mn0.1O2 and LiNi0.92Co0.07Mn0.01O2. To ensure a uniform distribution within the electrodes, MWCNTs were uniformly dispersed in the solvent using ultrasonication, the most effective and straightforward dispersion method. This enhancement improved both electronic and ionic conductivity, facilitating the formation of an efficient electron transfer network. Unlike the cells using only carbon black, the electrodes with MWCNTs exhibited lower internal resistances, facilitating higher lithium-ion diffusion. The cells with MWCNTs exhibited a capacity retention of 89.5% over their cycle life, and the cells with 2 wt% MWCNTs exhibited a superior rate capability at a high current density of 1 C. This study highlights that incorporating well-dispersed MWCNTs effectively enhances the electrochemical performance of ultrahigh-loading cathodes in lithium-ion batteries (LIBs), providing valuable insights into electrode design.",Nanomaterials,2025,"Choi, C.J. et al.",Jinhyup Han,Dae-Young Jeon,https://www.mdpi.com/2079-4991/15/3/156/pdf?version=1737468011,cc-by-4.0,sentence,"Particularly at a C-rate of 1 C for NCM811, the specific capacities for 0, 1, and 2 wt% MWCNTs were 28.9, 124.1, and 161.6 mAh g-1, respectively.",specific_capacity,161.6,discharge,none,not_reported,,LiNi0.8Co0.1Mn0.1O2,NMC811,NCM811,2 wt% MWCNTs,polycrystalline,1,200,mA/g,2.8,4.3,Li/Li+,4.3,half cell,half cell,Li metal,30,30,LiPF6,1,EC:EMC (3:7 weight ratio),not_reported,Commercial 1 M LiPF6 in EC:EMC (3:7 weight ratio) electrolyte,PVDF,4,CNT,8,88,88:6:2:4,NMP,Al foil,11,11,false,not_reported
